S.No,Word,Split,Type
1.7.3,द्विजोत्तम,द्विज उत्तम,vowel
1.7.2,तान्निबोध,तान् निबोध,consonant
1.7.1,अस्माकंतु,अस्माकम् तु,consonant
1.8.6,सौमदत्तिस्तथैव,सौम दत्तिः तथा एव,consonant
1.8.5,विकर्णश्च,विकर्णः च,visarga
1.8.4,समितिञ्जयः,समितिम् जयः,consonant
1.8.3,कृपश्च,कृपः च,visarga
1.8.2,कर्णश्च,कर्णः च,visarga
1.8.1,भवान्भीष्मश्च,भवान् भीष्मः च,consonant
1.9.1,शूरामदर्थे,शूराः मत् अर्थे,consonant
1.10.2,पर्याप्तंत्विदमेतेषांबलंभीमाभिरक्षितम्,पर्याप्तम् तु इदम् एतेषाम् बलम् भीमाभिरक्षितम्,consonant
1.10.1,अपर्याप्तंतदस्माकंबलंभीष्माभिरक्षितम्,अपर्याप्तम् तत् अस्माकम् बलम् भीष्म अभिरक्षितम्,consonant
1.11.2,भीष्ममेवाभिरक्षन्तु,भीष्मम् एव अभिरक्षन्तु,consonant
1.11.1,यथाभागमवस्थिताः,यथाभागम् अवस्थिताः,consonant
1.12.3,शङ्खंदध्मौ,शङ्खम् दध्मौ,consonant
1.12.2,सिंहनादंविनद्योच्चैः,सिंहनादम् विनद्य उच्चैः,consonant
1.12.1,सञ्जनयन्हर्षम्,सञ्जनयन् हर्षम्,consonant
1.13.4,सशब्दस्तुमुलोऽभवत्,सः शब्दः तुमुलः अभवत्,visarga
1.13.3,सहसैवाभ्यहन्यन्त,सहसा एव अभ्यहन्यन्त,vowel
1.13.2,भेर्यश्च,भेर्यः च,visarga
1.13.1,शङ्खाश्च,शङ्खाः च,visarga
1.14.2,पाण्डवश्चैव,पाण्डवः च एव,consonant
1.14.1,श्वेतैर्हयैर्युक्ते,श्वेतैः हयैः युक्ते,visarga
1.15.5,वृकोदरः,वृक उदरः,vowel
1.15.4,महाशङ्खंभीमकर्मा,महाशङ्खम् भीमकर्मा,consonant
1.15.3,पौण्ड्रंदध्मौ,पौण्ड्रम् दध्मौ,consonant
1.15.2,देवदत्तंधनञ्जयः,देवदत्तम् धनम् जयः,consonant
1.15.1,पाञ्चजन्यंहृषीकेशः,पाञ्चजन्यम् हृषीकेशः,consonant
1.16.3,सहदेवश्च,सहदेवः च,visarga
1.16.2,कुन्तिपुत्रोयुधिष्ठिरः,कुन्तिपुत्रो युधि स्थिरः,consonant
1.16.1,अनन्तविजयंराजा,अनन्तविजयम् राजा,consonant
1.17.3,सात्यकिश्चापराजितः,सात्यकिः च अपराजितः,consonant
1.17.2,धृष्टद्युम्नोविराटश्च,धृष्टद्युम्नः विराटः च,consonant
1.17.1,काश्यश्च,काश्यः च,visarga
1.18.3,शङ्खान्दध्मुः,शङ्खान् दध्मुः,consonant
1.18.2,सौभद्रश्च,सौभद्रः च,visarga
1.18.1,द्रुपदोद्रौपदेयाश्च,द्रुपदः द्रौपदेयाः च,visarga
1.19.5,तुमुलोव्यनुनादयन्,तुमुलः वि अनुनादयन्,consonant
1.19.4,पृथिवींचैव,पृथिवीम् च एव,consonant
1.19.3,नभश्च,नभः च,visarga
1.19.2,व्यदारयत्,वि अदारयत्,vowel
1.19.1,सघोषोधार्तराष्ट्राणांहृदयानि,सः घोषः धार्तराष्ट्राणाम् हृदयानि,consonant
1.20.3,धनुरुद्यम्य,धनुः उद्यम्य,visarga
1.20.2,धार्तराष्ट्रान्कपिध्वजः,धार्तराष्ट्रान् कपिध्वजः,consonant
1.20.1,व्यवस्थितान्दृष्ट्वा,व्यवस्थितान् दृष्ट्वा,consonant
1.21.5,मेऽच्युत,मे अच्युत,vowel
1.21.4,रथंस्थापय,रथम् स्थापय,consonant
1.21.3,सेनयोरुभयोर्मध्ये,सेनयोः उभयोः मध्ये,visarga
1.21.2,वाक्यमिदमाह,वाक्यम् इदम् आह,consonant
1.21.1,हृषीकेशंतदा,हृषीकेशम् तदा,consonant
1.22.4,योद्धव्यमस्मिन्रणसमुद्यमे,योद्धव्यम् अस्मिन् रणसमुद्यमे,consonant
1.22.3,कैर्मया,कैः मया,visarga
1.22.2,निरीक्षेऽहंयोद्धुकामानवस्थितान्,निरीक्षे अहम् योद्धुकामान् अवस्थितान्,consonant
1.22.1,यावदेतान्,यावत् एतान्,consonant
1.23.1,योत्स्यमानानवेक्षेऽहंयएतेऽत्र,योत्स्यमानान् अवेक्षे अहम् ये एते अत्र,consonant
1.24.4,रथोत्तमम्,रथ उत्तमम्,vowel
1.24.3,सेनयोरुभयोर्मध्ये,सेनयोः उभयोः मध्ये,visarga
1.24.2,एवमुक्तोहृषीकेशोगुडाकेशेन,एवम् उक्तः हृषीकेशः गुडाकेशेन,consonant
1.24.1,सञ्जयउवाच,सञ्जयः उवाच,visarga
1.25.2,पश्यैतान्समवेतान्कुरूनिति,पश्य एतान् समवेतान् कुरून् इति,consonant
1.25.1,सर्वेषांच,सर्वेषाम् च,consonant
1.26.3,आचार्यान्मातुलान्भ्रातॄन्पुत्रान्पौत्रान्सखींस्तथा,आचार्यान् मातुलान् भ्रातॄन् पुत्रान् पौत्रान् सखीन् तथा,consonant
1.26.2,पितॄनथ,पितॄन् अथ,consonant
1.26.1,तत्रापश्यत्स्थितान्पार्थः,तत्र अपश्यत् स्थितान् पार्थः,consonant
1.27.5,सर्वान्बन्धूनवस्थितान्,सर्वान् बन्धून् अवस्थितान्,consonant
1.27.4,सकौन्तेयः,सः कौन्तेयः,visarga
1.27.3,तान्समीक्ष्य,तान् समीक्ष्य,consonant
1.27.2,सेनयोरुभयोरपि,सेनयोः उभयोः अपि,visarga
1.27.1,श्वशुरान्सुहृदश्चैव,श्वशुरान् सुहृदः च एव,consonant
1.28.3,युयुत्सुंसमुपस्थितम्,युयुत्सुम् सम् उपस्थितम्,consonant
1.28.2,दृष्ट्वेमंस्वजनंकृष्ण,दृष्ट्वा इमम् स्व जनम् कृष्ण,consonant
1.28.1,परयाविष्टोविषीदन्निदमब्रवीत्,परया अविष्टः विषीदन् इदम् अब्रवीत्,consonant
1.29.3,रोमहर्षश्च,रोमहर्षः च,consonant
1.29.2,वेपथुश्च,वेपथुः च,visarga
1.29.1,मुखंच,मुखम् च,consonant
1.30.3,शक्नोम्यवस्थातुंभ्रमतीव,शक्नोमि अवस्थातुम् भ्रमति इव,consonant
1.30.2,हस्तात्त्वक्चैव,हस्तात् त्वक् च एव,consonant
1.30.1,गाण्डीवंस्रंसते,गाण्डीवम् स्रंसते,consonant
1.31.2,स्वजनमाहवे,स्व जनम् आहवे,consonant
1.31.1,श्रेयोऽनुपश्यामि,श्रेयः अनुपश्यामि,visarga
1.32.4,किंभोगैर्जीवितेन,किम् भोगैः जीवितेन,consonant
1.32.3,किंनोराज्येन,किम् नः राज्येन,consonant
1.32.2,राज्यंसुखानि,राज्यम् सुखानि,consonant
1.32.1,विजयंकृष्ण,विजयम् कृष्ण,consonant
1.33.4,प्राणांस्त्यक्त्वा,प्राणान् त्यक्त्वा,consonant
1.33.3,तइमेऽवस्थिता,ते इमे अवस्थिताः,vowel
1.33.2,काङ्क्षितंनोराज्यंभोगाः,काङ्क्षितम् नः राज्यम् भोगाः,consonant
1.33.1,येषामर्थे,येषाम् अर्थे,consonant
1.34.2,सम्बन्धिनस्तथा,सम्बन्धिनः तथा,visarga
1.34.1,पुत्रास्तथैव,पुत्राः तथा एव,consonant
1.35.3,घ्नतोऽपि,घ्नतः अपि,visarga
1.35.2,हन्तुमिच्छामि,हन्तुम् इच्छामि,consonant
1.35.1,एतान्न,एतान् न,consonant
1.36.3,पापमेवाश्रयेदस्मान्हत्वैतानाततायिनः,पापम् एव आश्रयेत् अस्मान् हत्वा एतान् आततायिनः,consonant
1.36.2,स्याज्जनार्दन,स्यात् जन अर्दन,consonant
1.36.1,धार्तराष्ट्रान्नः,धार्तराष्ट्रान् नः,consonant
1.37.3,कथंहत्वा,कथम् हत्वा,consonant
1.37.2,स्वजनंहि,स्वजनम् हि,consonant
1.37.1,तस्मान्नार्हावयंहन्तुंधार्तराष्ट्रान्स्वबान्धवान्,तस्मात् न अर्हाः वयम् हन्तुम् धार्तराष्ट्रान् स्व बान्धवान्,consonant
1.38.3,कुलक्षयकृतंदोषंमित्रद्रोहे,कुलक्षयकृतम् दोषम् मित्रद्रोहे,consonant
1.38.2,लोभोपहतचेतसः,लोभ उपहत चेतसः,consonant
1.38.1,यद्यप्येते,यदि अपि एते,vowel
1.39.4,कुलक्षयकृतंदोषंप्रपश्यद्भिर्जनार्दन,कुलक्षयकृतम् दोषम् प्रपश्यद्भिः जन अर्दन,consonant
1.39.3,पापादस्मान्निवर्तितुम्,पापात् अस्मान् निवर्तितुम्,consonant
1.39.2,ज्ञेयमस्माभिः,ज्ञेयम् अस्माभिः,consonant
1.39.1,कथंन,कथम् न,consonant
1.40.1,कुलंकृत्स्नमधर्मोऽभिभवत्युत,कुलम् कृत्स्नम् अधर्मः अभिभवति उत,consonant
1.41.1,अधर्माभिभवात्कृष्ण,अधर्म अभिभवात् कृष्ण,consonant
1.42.3,पितरोह्येषांलुप्तपिण्डोदकक्रियाः,पितरः हि एषाम् लुप्तपिण्ड उदकक्रियाः,consonant
1.42.1,सङ्करोनरकायैव,सङ्करः नरकाय एव,consonant
1.43.3,कुलधर्माश्च,कुलधर्माः च,consonant
1.43.2,कुलघ्नानांवर्णसङ्करकारकैः,कुलघ्नानाम् वर्णसङ्कर कारकैः,consonant
1.43.1,दोषैरेतैः,दोषैः एतैः,visarga
1.44.2,नरकेऽनियतंवासोभवतीत्यनुशुश्रुम,नरके अनियतम् वासः भवति इति अनुशुश्रुम,consonant
1.44.1,उत्सन्नकुलधर्माणांमनुष्याणांजनार्दन,उत्सत् नकुलधर्माणाम् मनुष्याणाम् जन अर्दन,consonant
1.45.3,हन्तुंस्वजनमुद्यताः,हन्तुम् स्वजनम् उद्यताः,consonant
1.45.2,यद्राज्यसुखलोभेन,यत् राज्यसुखलोभेन,consonant
1.45.1,महत्पापंकर्तुंव्यवसितावयम्,महत् पापम् कर्तुम् वि अवसिता वयम्,consonant
1.46.4,क्षेमतरंभवेत्,क्षेमतरम् भवेत्,consonant
1.46.3,हन्युस्तन्मे,हन्युः तत् मे,consonant
1.46.2,धार्तराष्ट्रारणे,धार्तराष्ट्राः रणे,visarga
1.46.1,मामप्रतीकारमशस्त्रंशस्त्रपाणयः,माम् अप्रतीकारम् अशस्त्रम् शस्त्रपाणयः,consonant
1.47.3,सशरंचापंशोकसंविग्नमानसः,सशरम् चापम् शोकसंविग्नमानसः,consonant
1.47.2,एवमुक्त्वार्जुनः,एवम् उक्त्वा अर्जुनः,consonant
1.47.1,सञ्जयउवाच,सञ्जयः उवाच,visarga
1.48.6,प्रथमोऽध्यायः,प्रथमः अध्यायः,visarga
1.48.5,अर्जुनविषादयोगोनाम,अर्जुनविषादयोगः नाम,consonant
1.48.4,श्रीकृष्णार्जुनसंवादे,श्रीकृष्ण अर्जुन संवादे,consonant
1.48.3,ब्रह्मविद्यायांयोगशास्त्रे,ब्रह्मविद्यायाम् योगशास्त्रे,consonant
1.48.2,श्रीमद्भगवद्गीतासु,श्रीमत् भगवत् गीतासु,consonant
1.48.1,ओंतत्,ओम् तत्,consonant
1..42.2,कुलघ्नानांकुलस्य,कुलघ्नानाम् कुलस्य,consonant
1,प्रथमोऽध्यायः,प्रथमः अध्यायः,visarga
2.1.4,विषीदन्तमिदंवाक्यमुवाच,विषीदन्तम् इदम् वाक्यम् उवाच,consonant
2.1.3,कृपयाविष्टमश्रुपूर्णाकुलेक्षणम्,कृपया आविष्टम् अश्रुपूर्ण आकुल ईक्षणम्,consonant
2.1.2,तंतथा,तम् तथा,consonant
2.1.1,सञ्जयउवाच,सञ्जयः उवाच,visarga
2.2.5,अनार्यजुष्टमस्वर्ग्यमकीर्तिकरमर्जुन,अनार्यजुष्टम् अस्वर्ग्यम् अकीर्तिकरम् अर्जुन,consonant
2.2.4,समुपस्थितम्,सम् उपस्थितम्,consonant
2.2.3,कश्मलमिदंविषमे,कश्मलम् इदम् विषमे,consonant
2.2.2,कुतस्त्वा,कुतः त्वा,visarga
2.2.1,श्रीभगवानुवाच,श्रीभगवान् उवाच,consonant
2.3.4,परन्तप,परम् तप,consonant
2.3.3,क्षुद्रंहृदयदौर्बल्यंत्यक्त्वोत्तिष्ठ,क्षुद्रम् हृदयदौर्बल्यम् त्यक्त्वा उत्तिष्ठ,consonant
2.3.2,नैतत्त्वय्युपपद्यते,न एतत् त्वयि उपपद्यते,consonant
2.3.1,क्लैब्यंमा,क्लैब्यम् मा,consonant
2.4.4,पूजार्हावरिसूदन,पूजा अर्हौ अरिसूदन,consonant
2.4.3,द्रोणञ्च,द्रोणम् च,consonant
2.4.2,कथम्भीष्ममहंसङ्ख्ये,कथम् भीष्मम् अहम् सङ्ख्ये,consonant
2.4.1,अर्जुनउवाच,अर्जुनः उवाच,visarga
2.5.5,गुरूनिहैव,गुरून् इह एव,consonant
2.5.4,हत्वार्थकामांस्तु,हत्वा अर्थकामान् तु,consonant
2.5.3,श्रेयोभोक्तुम्भैक्ष्यमपीह,श्रेयः भोक्तुम् भैक्ष्यम् अपि इह,consonant
2.5.2,महानुभावान्,महा अनुभावान्,vowel
2.5.1,गुरूनहत्वा,गुरून् अहत्वा,consonant
2.6.6,तेऽवस्थिताः,ते अवस्थिताः,vowel
2.6.5,यानेव,यान् एव,consonant
2.6.4,नोजयेयुः,नः जयेयुः,visarga
2.6.3,यद्वा,यत् वा,consonant
2.6.2,कतरन्नोगरीयः,कतरत् नः गरीयः,consonant
2.6.1,चैतद्विद्मः,च एतत् विद्मः,consonant
2.7.7,मान्त्वाम्प्रपन्नम्,माम् त्वाम् प्रपन्नम्,consonant
2.7.6,शिष्यस्तेऽहंशाधि,शिष्यः ते अहम् शाधि,consonant
2.7.5,तन्मे,तत् मे,consonant
2.7.4,स्यान्निश्चितम्ब्रूहि,स्यात् निश्चितम् ब्रूहि,consonant
2.7.3,यच्छ्रेयः,यत् श्रेयः,consonant
2.7.2,त्वान्धर्मसंमूढचेताः,त्वाम् धर्मसंमूढचेताः,consonant
2.7.1,कार्पण्यदोषोपहतस्वभावः,कार्पण्यदोष उपहतस्वभावः,consonant
2.8.5,चाधिपत्यम्,च आधिपत्यम्,vowel
2.8.4,राज्यंसुराणामपि,राज्यम् सुराणाम् अपि,consonant
2.8.3,भूमावसपत्नमृद्धम्,भूमौ असपत्नम् ऋद्धम्,consonant
2.8.2,यच्छोकमुच्छोषणमिन्द्रियाणाम्,यत् शोकम् उत् शोषणम् इन्द्रियाणाम्,consonant
2.8.1,ममापनुद्यात्,मम अपनुद्यात्,vowel
2.9.7,तूष्णीम्बभूवह,तूष्णीम् बभूवह,consonant
2.9.6,गोविन्दमुक्त्वा,गोविन्दम् उक्त्वा,consonant
2.9.5,योत्स्यइति,योत्स्ये इति,vowel
2.9.4,परन्तप,परम् तप,consonant
2.9.3,हृषीकेशङ्गुडाकेशः,हृषीकेशम् गुडाकेशः,consonant
2.9.2,एवमुक्त्वा,एवम् उक्त्वा,consonant
2.9.1,सञ्जयउवाच,सञ्जयः उवाच,visarga
2.10.4,विषीदन्तमिदंवचः,विषीदन्तम् इदम् वचः,consonant
2.10.3,सेनयोरुभयोर्मध्ये,सेनयोः उभयोः मध्ये,visarga
2.10.2,प्रहसन्निव,प्रहसन् इव,consonant
2.10.1,तमुवाच,तम् उवाच,consonant
2.11.4,नानुशोचन्ति,न अनुशोचन्ति,vowel
2.11.3,गतासूनगतासूंश्च,गत आसून् अगत आसून् च,consonant
2.11.2,अशोच्यानन्वशोचस्त्वंप्रज्ञावादांश्च,अशोच्यान् अन्वशोचः त्वम् प्रज्ञावादान् च,consonant
2.11.1,श्रीभगवानुवाच,श्रीभगवान् उवाच,consonant
2.12.6,वयमतः,वयम् अतः,consonant
2.12.5,चैव,च एव,vowel
2.12.4,जनाधिपाः,जन अधिपाः,vowel
2.12.3,त्वंनेमे,त्वम् न इमे,consonant
2.12.2,नासंन,न आसम् न,consonant
2.12.1,त्वेवाहंजातु,तु एव अहम् जातु,consonant
2.13.4,धीरस्तत्र,धीरः तत्र,visarga
2.13.3,देहान्तरप्राप्तिः,देह अन्तर प्राप्तिः,consonant
2.13.2,कौमारंयौवनंजरा,कौमारम् यौवनम् जरा,consonant
2.13.1,देहिनोऽस्मिन्यथा,देहिनः अस्मिन् यथा,consonant
2.14.3,आगमापायिनोऽनित्यास्तांस्तितिक्षस्व,आगम आपायिनः अनित्याः तान् तितिक्षस्व,consonant
2.14.2,शीतोष्णसुखुदुःखदाः,शीत उष्णसुखुदुःखदाः,consonant
2.14.1,मात्रास्पर्शास्तु,मात्रास्पर्शाः तु,visarga
2.15.4,समदुःखसुखन्धीरंसोऽमृतत्वाय,समदुःखसुखम् धीरम् सः अमृतत्वाय,consonant
2.15.3,पुरुषम्पुरुषर्षभ,पुरुषम् पुरुष ऋषभ,consonant
2.15.2,व्यथयन्त्येते,व्यथयन्ति एते,vowel
2.15.1,यंहि,यम् हि,consonant
2.16.4,दृष्टोऽन्तस्त्वनयोस्तत्त्वदर्शिभिः,दृष्टः अन्तः तु अनयोः तत्त्वदर्शिभिः,consonant
2.16.3,उभयोरपि,उभयोः अपि,visarga
2.16.2,भावोनाभावोविद्यते,भावः न अभावः विद्यते,consonant
2.16.1,नासतोविद्यते,न असतः विद्यते,consonant
2.17.4,कश्चित्कर्तुमर्हति,कः चित् कर्तुम् अर्हति,consonant
2.17.3,विनाशमव्ययस्य,विनाशम् अव्ययस्य,consonant
2.17.2,सर्वमिदन्ततम्,सर्वम् इदम् ततम्,consonant
2.17.1,तद्विद्धि,तत् विद्धि,consonant
2.18.4,तस्माद्युध्यस्व,तस्मात् युध्यस्व,consonant
2.18.3,अनाशिनोऽप्रमेयस्य,अनाशिनः अप्रमेयस्य,visarga
2.18.2,देहानित्यस्योक्ताः,देहाः नित्यस्य उक्ताः,consonant
2.18.1,अन्तवन्तइमे,अन्तवन्तः इमे,consonant
2.19.3,विजानीतोनायंहन्ति,विजानीतः न अयम् हन्ति,consonant
2.19.2,हन्तारंयश्चैनम्,हन्तारम् यः च एनम्,consonant
2.19.1,यएनंवेत्ति,यः एनम् वेत्ति,consonant
2.20.3,शाश्वतोऽयंपुराणः,शाश्वतः अयम् पुराणः,consonant
2.20.2,अजोनित्यः,अजः नित्यः,visarga
2.20.1,नायम्,न अयम्,vowel
2.21.3,कङ्घातयति,कम् घातयति,consonant
2.21.2,कथंसपुरुषः,कथम् सः पुरुषः,consonant
2.21.1,वेदाविनाशिनन्नित्यंयएनमजमव्ययम्,वेद अविनाशिनम् नित्यम् यः एनम् अजम् अव्ययम्,consonant
2.22.1,नरोऽपराणि,नरः अपराणि,visarga
2.23.3,चैनंक्लेदयन्त्यापः,च एनम् क्लेदयन्ति आपः,consonant
2.23.2,नैनंदहति,न एनम् दहति,consonant
2.23.1,नैनंछिन्दन्ति,न एनम् छिन्दन्ति,consonant
2.24.2,स्थाणुरचलोऽयंसनातनः,स्थाणुः अचलः अयम् सनातनः,consonant
2.24.1,अच्छेद्योऽयमदाह्योऽयमक्लेद्योऽशोष्यएव,अच्छेद्यः अयम् अदाह्यः अयम् अक्लेद्यः अशोष्यः एव,consonant
2.25.2,तस्मादेवंविदित्वैनंनानुशोचितुमर्हसि,तस्मात् एवम् विदित्वा एनम् न अनुशोचितुम् अर्हसि,consonant
2.25.1,अव्यक्तोऽयमचिन्त्योऽयमविकार्योऽयमुच्यते,अव्यक्तः अयम् अचिन्त्यः अयम् अविकार्यः अयम् उच्यते,consonant
2.26.3,त्वंमहाबाहोनैवंशोचितुमर्हसि,त्वम् महाबाहः न एवम् शोचितुम् अर्हसि,consonant
2.26.2,तथापि,तथा अपि,vowel
2.26.1,चैनन्नित्यजातन्नित्यंवा,च एनम् नित्यजातम् नित्यम् वा,consonant
2.27.3,त्वंशोचितुमर्हसि,त्वम् शोचितुम् अर्हसि,consonant
2.27.2,तस्मादपरिहार्येऽर्थे,तस्मात् अपरिहार्ये अर्थे,consonant
2.27.1,ध्रुवोमृत्युर्ध्रुवञ्जन्म,ध्रुवः मृत्युः ध्रुवम् जन्म,consonant
2.28.2,अव्यक्तनिधनान्येव,अव्यक्तनिधनानि एव,consonant
2.28.1,अव्यक्तादीनि,अव्यक्त आदीनि,vowel
2.29.8,कश्चित्,कः चित्,visarga
2.29.7,चैव,च एव,vowel
2.29.6,श्रुत्वाप्येनंवेद,श्रुत्वा अपि एनम् वेद,consonant
2.29.5,आश्चर्यवच्चैनमन्यः,आश्चर्यवत् च एनम् अन्यः,consonant
2.29.4,चान्यः,च अन्यः,vowel
2.29.3,तथैव,तथा एव,vowel
2.29.2,कश्चिदेनमाश्चर्यवद्वदति,कः चित् एनम् आश्चर्यवत् वदति,consonant
2.29.1,आश्चर्यवत्पश्यति,आश्चर्यवत् पश्यति,consonant
2.30.3,त्वंशोचितुमर्हसि,त्वम् शोचितुम् अर्हसि,consonant
2.30.2,तस्मात्सर्वाणि,तस्मात् सर्वाणि,consonant
2.30.1,नित्यमवध्योऽयन्देहे,नित्यम् अवध्यः अयम् देहे,consonant
2.31.4,युद्धाच्छ्रेयोऽन्यत्क्षत्रियस्य,युद्धात् श्रेयः अन्यत् क्षत्रियस्य,consonant
2.31.3,धर्म्याद्धि,धर्म्यात् हि,consonant
2.31.3,विकम्पितुमर्हसि,विकम्पितुम् अर्हसि,consonant
2.31.2,चावेक्ष्य,च अवेक्ष्य,vowel
2.31.1,स्वधर्ममपि,स्वधर्मम् अपि,consonant
2.32.3,युद्धमीदृशम्,युद्धम् ईदृशम्,consonant
2.32.2,चोपपन्नंस्वर्गद्वारमपावृतम्,च उपपन्नम् स्वर्गद्वारम् अप आवृतम्,consonant
2.32.1,यदृच्छया,यत् ऋच्छया,consonant
2.33.3,पापमवाप्स्यसि,पापम् अवाप्स्यसि,consonant
2.33.2,स्वधर्मङ्कीर्तिञ्च,स्वधर्मम् कीर्तिम् च,consonant
2.33.1,चेत्त्वमिमन्धर्म्यंसङ्ग्रामन्न,चेत् त्वम् इमम् धर्म्यम् सम् ग्रामम् न,consonant
2.34.3,चाकीर्तिर्मरणादतिरिच्यते,च अकीर्तिः मरणात् अतिरिच्यते,consonant
2.34.2,तेऽव्ययाम्,ते अव्ययाम्,vowel
2.34.1,अकीर्तिञ्चापि,अकीर्तिम् च अपि,consonant
2.35.4,त्वंबहुमतोभूत्वा,त्वम् बहुमतः भूत्वा,consonant
2.35.3,येषाञ्च,येषाम् च,consonant
2.35.2,त्वांमहारथाः,त्वाम् महारथाः,consonant
2.35.1,भयाद्रणादुपरतम्मंस्यन्ते,भयात् रणात् उपरतम् मंस्यन्ते,consonant
2.36.5,सामर्थ्यन्ततोदुःखतरन्नु,सामर्थ्यम् ततः दुःखतरम् नु,consonant
2.36.4,निन्दन्तस्तव,निन्दन्तः तव,visarga
2.36.3,तवाहिताः,तव अहिताः,vowel
2.36.2,बहून्वदिष्यन्ति,बहून् वदिष्यन्ति,consonant
2.36.1,अवाच्यवादांश्च,अवाच्यवादान् च,consonant
2.37.3,तस्मादुत्तिष्ठ,तस्मात् उत्तिष्ठ,consonant
2.37.2,स्वर्गञ्जित्वा,स्वर्गम् जित्वा,consonant
2.37.1,हतोवा,हतः वा,visarga
2.38.4,नैवंपापमवाप्स्यसि,न एवम् पापम् अवाप्स्यसि,consonant
2.38.3,ततोयुद्धाय,ततः युद्धाय,visarga
2.38.2,जयाजयौ,जय अजयौ,vowel
2.38.1,लाभालाभौ,लाभ अलाभौ,vowel
2.39.4,कर्मबन्धंप्रहास्यसि,कर्मबन्धम् प्रहास्यसि,consonant
2.39.3,युक्तोयया,युक्तः यया,visarga
2.39.2,त्विमांश्रृणु,तु इमाम् श्रृणु,consonant
2.39.1,बुद्धिर्योगे,बुद्धिः योगे,visarga
2.40.4,महतोभयात्,महतः भयात्,visarga
2.40.3,स्वल्पमप्यस्य,स्वल्पम् अपि अस्य,consonant
2.40.2,प्रत्यवायोन,प्रत्यवायः न,visarga
2.40.1,नेहाभिक्रमनाशोऽस्ति,न इह अभिक्रमनाशः अस्ति,consonant
2.41.4,बुद्धयोऽव्यवसायिनाम्,बुद्धयः अव्यवसायिनाम्,visarga
2.41.3,ह्यनन्ताश्च,हि अनन्ताः च,consonant
2.41.2,बुद्धिरेकेह,बुद्धिः एक इह,consonant
2.41.1,व्यवसायात्मिका,व्यवसाय आत्मिका,vowel
2.42.2,नान्यदस्तीति,न अन्यत् अस्ति इति,consonant
2.42.1,यामिमाम्पुष्पितांवाचम्प्रवदन्त्यविपश्चितः,याम् इमाम् पुष्पिताम् वाचम् प्रवदन्ति अविपश्चितः,consonant
2.43.2,क्रियाविशेषबहुलाम्भोगैश्वर्यगतिम्प्रति,क्रियाविशेषबहुलाम् भोग ऐश्वर्यगतिम् प्रति,consonant
2.43.1,कामात्मानः,काम आत्मानः,vowel
2.44.2,व्यवसायात्मिका,व्यवसाय आत्मिका,vowel
2.44.1,भोगैश्वर्यप्रसक्तानान्तयापहृतचेतसाम्,भोग ऐश्वर्यप्रसक्तानाम् तया अपहृतचेतसाम्,consonant
2.45.2,निर्द्वन्द्वोनित्यसत्त्वस्थोनिर्योगेक्षेम,निः द्वन्द्वः नित्यसत्त्वस्थः निः योगे क्षेम,consonant
2.45.1,वेदानिस्त्रैगुण्योभवार्जुन,वेदाः निः त्रैगुण्यः भव अर्जुन,consonant
2.46.3,तावान्सर्वेषु,तावान् सर्वेषु,consonant
2.46.2,सम्प्लुतोदके,सम् प्लुत उदके,consonant
2.46.1,यावानर्थ,यावान् अर्थ,consonant
2.47.3,सङ्गोऽस्त्वकर्मणि,सङ्गः अस्तु अकर्मणि,consonant
